업종별(1),근해어업,쌍끌이대형저인망,서남해구외끌이중형저인망,서남해구쌍끌이중형저인망,대형트롤,동해구중형트롤,대형선망,소형선망,근해채낚기,근해자망,근해안강망,근해연승,연안선망,연안자망,연안개량안강망,연안복합,정치망
2001,"5,014",,,,62,,219,92,735,,585,907,494,,,"24,864",589
2002,"4,541",,,,62,,220,96,699,,466,808,480,,,"26,040",590
2003,"4,166",,,,60,,210,86,663,,382,722,480,,,"32,148",574
2004,"3,773",,,,58,,190,64,611,,311,610,320,,,"34,253",496
2005,"3,687",,,,58,,188,64,607,,285,584,318,,,"33,725",470
2006,"3,630",,,,58,,191,106,679,,266,495,309,,,"33,258",407
2007,"3,573",,,,60,,191,100,641,,262,529,306,,,"33,142",482
2008,"3,385",,,,64,,175,94,612,,234,416,258,,,"27,395",436
2009,"3,047",,,,54,,154,76,522,,236,352,251,,,"25,459",498
2010,"2,875",,,,53,,153,77,476,,229,323,206,,,"25,239",463
2011,"2,845",,,,51,,143,74,490,,224,323,281,,,"23,974",491
2012,"2,842",,,,52,,143,74,490,,214,322,296,,,"22,638",496
2013,"2,780",,,,52,,143,72,480,,208,301,265,,,"22,173",348
2014,"2,714",,,,52,,143,70,473,,214,274,258,,,"20,245",563
2015,"2,643",,,,52,,146,68,461,,219,267,246,,,"20,643",611
2016,"2,640",71,41,18,51,38,144,71,445,366,218,267,250,"12,030",980,"19,668",628
2017,"2,730",73,40,19,54,40,145,69,468,356,206,296,286,"12,835",393,"18,115",594
2018,"2,720",70,42,18,52,38,142,85,460,395,207,254,268,"12,880",407,"16,978",665
2019,"2,677",72,48,13,52,38,151,90,443,419,210,227,257,"12,592",412,"16,719",656
2020,"2,613",74,40,16,53,37,111,81,404,406,205,261,260,"12,288",400,"16,638",640
2021,"2,492",72,40,16,42,35,111,51,403,405,202,262,253,"12,262",389,"16,599",639
2022,"2,372",75,42,15,43,34,110,42,404,373,197,260,231,"12,170",374,"16,611",650
