년도,월,가격 (원)
2008,1,2373
2008,2,2413
2008,3,2436
2008,4,2510
2008,5,2511
2008,6,2655
2008,7,2871
2008,8,2960
2008,9,3030
2008,10,2652
2008,11,2765
2008,12,3084
2009,1,3474
2009,2,4018
2009,3,4065
2009,4,3845
2009,5,4000
2009,6,3198
2009,7,2809
2009,8,2853
2009,9,2813
2009,10,2686
2009,11,2536
2009,12,2581
2010,1,2826
2010,2,3010
2010,3,3124
2010,4,3365
2010,5,3915
2010,6,3606
2010,7,3414
2010,8,3393
2010,9,3799
2010,10,3247
2010,11,3614
2010,12,3917
2011,1,4288
2011,2,4181
2011,3,3815
2011,4,3790
2011,5,3809
2011,6,3626
2011,7,4195
2011,8,3715
2011,9,3846
2011,10,3677
2011,11,3733
2011,12,3919
2012,1,3880
2012,2,3331
2012,3,3731
2012,4,3932
2012,5,3708
2012,6,3334
2012,7,3386
2012,8,2968
2012,9,3038
2012,10,3026
2012,11,3039
2012,12,3284
2013,1,2888
2013,2,3639
2013,3,3852
2013,4,4451
2013,5,5475
2013,6,4386
2013,7,4026
2013,8,3564
2013,9,3344
2013,10,3279
2013,11,3230
2013,12,3225
2014,1,3422
2014,2,4073
2014,3,3891
2014,4,4259
2014,5,3512
2014,6,4046
2014,7,3931
2014,8,3534
2014,9,3141
2014,10,3703
2014,11,3969
2014,12,4105
2015,1,4408
2015,2,5185
2015,3,4422
2015,4,4469
2015,5,4631
2015,6,4216
2015,7,3366
2015,8,2689
2015,9,3047
2015,10,2868
2015,11,2784
2015,12,3162
2016,1,3140
2016,2,2972
2016,3,3199
2016,4,3610
2016,5,3744
2016,6,2865
2016,7,2818
2016,8,2605
2016,9,2758
2016,10,2863
2016,11,2795
2016,12,2940
2017,1,2922
2017,2,2792
2017,3,3019
2017,4,3000
2017,5,3130
2017,6,2972
2017,7,2891
2017,8,2775
2017,9,2767
2017,10,2961
2017,11,2930
2017,12,2878
2018,1,3052
2018,2,2967
2018,3,3094
2018,4,3212
2018,5,3000
2018,6,3000
2018,7,3193
2018,8,3000
2018,9,2696
2018,10,2287
2018,11,2369
2018,12,2455
2019,1,2530
2019,2,2406
2019,3,2417
2019,4,2023
2019,5,1900
2019,6,
2019,7,3188
2019,8,2807
2019,9,2492
2019,10,2005
2019,11,2512
2019,12,2833
2020,1,3000
2020,2,3481
2020,3,3451
2020,4,3200
2020,5,
2020,6,
2020,7,3650
2020,8,2971
2020,9,3346
2020,10,3481
2020,11,3548
2020,12,3083
2021,1,3379
2021,2,3360
2021,3,3565
2021,4,2755
2021,5,4700
2021,6,4205
2021,7,3025
2021,8,3008
2021,9,3504
2021,10,3310
2021,11,3422
2021,12,3437
2022,1,3579
2022,2,3847
2022,3,3695
2022,4,
2022,5,5597
2022,6,4638
2022,7,3936
2022,8,3543
2022,9,2733
2022,10,2875
2022,11,
2022,12,
2023,1,
2023,2,
2023,3,3445
2023,4,
2023,5,3610
2023,6,2591
2023,7,2365
2023,8,2932
2023,9,2875
2023,10,2489
2023,11,2649
2023,12,3198
