date,수입,수출
2013-12-01,5386,
2014-01-01,3476,4840
2014-02-01,1101,3402
2014-03-01,2011,2033
2014-04-01,2454,2122
2014-05-01,1995,755
2014-06-01,1452,825
2014-07-01,1419,853
2014-08-01,699,1210
2014-09-01,246,2774
2014-10-01,1138,2184
2014-11-01,5869,574
2014-12-01,11651,1260
2015-01-01,10685,2357
2015-02-01,4524,1184
2015-03-01,7566,2246
2015-04-01,6118,2983
2015-05-01,3756,1660
2015-06-01,3263,1822
2015-07-01,2297,1892
2015-08-01,1056,1623
2015-09-01,768,2767
2015-10-01,1208,2599
2015-11-01,3481,2653
2015-12-01,6780,2379
2016-01-01,5067,2481
2016-02-01,4484,1409
2016-03-01,3954,881
2016-04-01,4557,1666
2016-05-01,3880,1095
2016-06-01,5000,1101
2016-07-01,2183,801
2016-08-01,1789,1244
2016-09-01,656,1415
2016-10-01,703,3037
2016-11-01,2645,3681
2016-12-01,9958,2652
2017-01-01,8578,1593
2017-02-01,4650,1926
2017-03-01,3583,363
2017-04-01,3921,175
2017-05-01,4320,504
2017-06-01,3289,188
2017-07-01,2086,635
2017-08-01,1828,1066
2017-09-01,1197,2525
2017-10-01,1169,3112
2017-11-01,2918,1259
2017-12-01,7746,3492
2018-01-01,10666,7723
2018-02-01,6115,5919
2018-03-01,4597,3426
2018-04-01,4177,3139
2018-05-01,2823,1904
2018-06-01,3253,1258
2018-07-01,1959,3734
2018-08-01,1219,3202
2018-09-01,1615,4287
2018-10-01,1189,9350
2018-11-01,900,15312
2018-12-01,3675,12627
2019-01-01,5771,15700
2019-02-01,3844,5714
2019-03-01,4736,2563
2019-04-01,4060,1801
2019-05-01,3599,2752
2019-06-01,2402,2898
2019-07-01,4471,2172
2019-08-01,3709,1319
2019-09-01,1396,1269
2019-10-01,1658,960
2019-11-01,2744,1397
2019-12-01,4701,6635
2020-01-01,5963,10266
2020-02-01,2803,8306
2020-03-01,9322,4744
2020-04-01,5213,3062
2020-05-01,2473,1320
2020-06-01,2740,2803
2020-07-01,3060,1224
2020-08-01,2428,1759
2020-09-01,1609,857
2020-10-01,1265,568
2020-11-01,1311,1207
2020-12-01,8701,877
2021-01-01,9483,1426
2021-02-01,4440,1769
2021-03-01,10103,713
2021-04-01,6925,1677
2021-05-01,8019,3724
2021-06-01,3340,880
2021-07-01,2406,471
2021-08-01,1139,1347
2021-09-01,606,1901
2021-10-01,658,5821
2021-11-01,1370,5724
2021-12-01,6211,9139
2022-01-01,10142,13588
2022-02-01,4755,10109
2022-03-01,4990,7728
2022-04-01,6640,2750
2022-05-01,3809,4505
2022-06-01,2788,2917
2022-07-01,3756,2757
2022-08-01,2056,613
2022-09-01,2194,1996
2022-10-01,679,6242
2022-11-01,563,8125
2022-12-01,9590,14690
2023-01-01,8581,12493
2023-02-01,4351,8809
2023-03-01,7763,8795
2023-04-01,8099,6440
2023-05-01,3981,2083
2023-06-01,3398,5414
2023-07-01,1495,4673
2023-08-01,2876,12583
2023-09-01,349,10471
2023-10-01,193,13637
2023-11-01,2127,15640
2023-12-01,10476,10563
