년도,월,수입,수출
2013,12,5386,
2014,1,3476,4840
2014,2,1101,3402
2014,3,2011,2033
2014,4,2454,2122
2014,5,1995,755
2014,6,1452,825
2014,7,1419,853
2014,8,699,1210
2014,9,246,2774
2014,10,1138,2184
2014,11,5869,574
2014,12,11651,1260
2015,1,10685,2357
2015,2,4524,1184
2015,3,7566,2246
2015,4,6118,2983
2015,5,3756,1660
2015,6,3263,1822
2015,7,2297,1892
2015,8,1056,1623
2015,9,768,2767
2015,10,1208,2599
2015,11,3481,2653
2015,12,6780,2379
2016,1,5067,2481
2016,2,4484,1409
2016,3,3954,881
2016,4,4557,1666
2016,5,3880,1095
2016,6,5000,1101
2016,7,2183,801
2016,8,1789,1244
2016,9,656,1415
2016,10,703,3037
2016,11,2645,3681
2016,12,9958,2652
2017,1,8578,1593
2017,2,4650,1926
2017,3,3583,363
2017,4,3921,175
2017,5,4320,504
2017,6,3289,188
2017,7,2086,635
2017,8,1828,1066
2017,9,1197,2525
2017,10,1169,3112
2017,11,2918,1259
2017,12,7746,3492
2018,1,10666,7723
2018,2,6115,5919
2018,3,4597,3426
2018,4,4177,3139
2018,5,2823,1904
2018,6,3253,1258
2018,7,1959,3734
2018,8,1219,3202
2018,9,1615,4287
2018,10,1189,9350
2018,11,900,15312
2018,12,3675,12627
2019,1,5771,15700
2019,2,3844,5714
2019,3,4736,2563
2019,4,4060,1801
2019,5,3599,2752
2019,6,2402,2898
2019,7,4471,2172
2019,8,3709,1319
2019,9,1396,1269
2019,10,1658,960
2019,11,2744,1397
2019,12,4701,6635
2020,1,5963,10266
2020,2,2803,8306
2020,3,9322,4744
2020,4,5213,3062
2020,5,2473,1320
2020,6,2740,2803
2020,7,3060,1224
2020,8,2428,1759
2020,9,1609,857
2020,10,1265,568
2020,11,1311,1207
2020,12,8701,877
2021,1,9483,1426
2021,2,4440,1769
2021,3,10103,713
2021,4,6925,1677
2021,5,8019,3724
2021,6,3340,880
2021,7,2406,471
2021,8,1139,1347
2021,9,606,1901
2021,10,658,5821
2021,11,1370,5724
2021,12,6211,9139
2022,1,10142,13588
2022,2,4755,10109
2022,3,4990,7728
2022,4,6640,2750
2022,5,3809,4505
2022,6,2788,2917
2022,7,3756,2757
2022,8,2056,613
2022,9,2194,1996
2022,10,679,6242
2022,11,563,8125
2022,12,9590,14690
2023,1,8581,12493
2023,2,4351,8809
2023,3,7763,8795
2023,4,8099,6440
2023,5,3981,2083
2023,6,3398,5414
2023,7,1495,4673
2023,8,2876,12583
2023,9,349,10471
2023,10,193,13637
2023,11,2127,15640
2023,12,10476,10563
