년도,월,생산량
2008,1,7994
2008,2,1430
2008,3,3001
2008,4,1385
2008,5,582
2008,6,1411
2008,7,3946
2008,8,7535
2008,9,16973
2008,10,31101
2008,11,45684
2008,12,31576
2009,1,12630
2009,2,15361
2009,3,8294
2009,4,1612
2009,5,7149
2009,6,6633
2009,7,3861
2009,8,11874
2009,9,15388
2009,10,6831
2009,11,8362
2009,12,5502
2010,1,5076
2010,2,2860
2010,3,1403
2010,4,463
2010,5,433
2010,6,1584
2010,7,2447
2010,8,3682
2010,9,13454
2010,10,33700
2010,11,11969
2010,12,6795
2011,1,6490
2011,2,5867
2011,3,5096
2011,4,3365
2011,5,835
2011,6,1586
2011,7,2296
2011,8,8948
2011,9,16585
2011,10,36678
2011,11,11159
2011,12,19037
2012,1,23660
2012,2,4977
2012,3,3470
2012,4,490
2012,5,1778
2012,6,2661
2012,7,7426
2012,8,8269
2012,9,8885
2012,10,13656
2012,11,12555
2012,12,24907
2013,1,16905
2013,2,1338
2013,3,1836
2013,4,912
2013,5,182
2013,6,1720
2013,7,4102
2013,8,9240
2013,9,13600
2013,10,6522
2013,11,12610
2013,12,21006
2014,1,5663
2014,2,3565
2014,3,2620
2014,4,1525
2014,5,412
2014,6,826
2014,7,4155
2014,8,14437
2014,9,11595
2014,10,10309
2014,11,26189
2014,12,28457
2015,1,13198
2015,2,6464
2015,3,12532
2015,4,9890
2015,5,15
2015,6,3245
2015,7,5568
2015,8,12866
2015,9,10058
2015,10,12177
2015,11,12694
2015,12,13593
2016,1,14466
2016,2,2065
2016,3,3105
2016,4,4885
2016,5,1352
2016,6,1761
2016,7,4400
2016,8,10432
2016,9,15717
2016,10,15793
2016,11,25634
2016,12,14473
2017,1,8352
2017,2,2358
2017,3,1553
2017,4,175
2017,5,540
2017,6,1762
2017,7,5981
2017,8,11821
2017,9,8402
2017,10,4603
2017,11,8152
2017,12,30662
2018,1,14271
2018,2,2275
2018,3,9874
2018,4,2765
2018,5,2
2018,6,89
2018,7,7950
2018,8,10674
2018,9,18739
2018,10,15213
2018,11,18957
2018,12,9546
2019,1,15328
2019,2,1687
2019,3,1604
2019,4,762
2019,5,78
2019,6,60
2019,7,1199
2019,8,4964
2019,9,4616
2019,10,6956
2019,11,10895
2019,12,32883
2020,1,3475
2020,2,8258
2020,3,3051
2020,4,348
2020,5,141
2020,6,198
2020,7,5481
2020,8,4492
2020,9,6553
2020,10,8015
2020,11,13032
2020,12,10044
2021,1,10747
2021,2,6008
2021,3,4216
2021,4,2361
2021,5,89
2021,6,171
2021,7,2584
2021,8,5806
2021,9,13591
2021,10,11448
2021,11,16245
2021,12,26718
2022,1,13448
2022,2,2162
2022,3,3340
2022,4,151
2022,5,232
2022,6,585
2022,7,2507
2022,8,3900
2022,9,5494
2022,10,5339
2022,11,24533
2022,12,16592
2023,1,18716
2023,2,1465
2023,3,8957
2023,4,6780
2023,5,937
2023,6,1590
2023,7,9584
2023,8,5698
2023,9,9903
2023,10,9163
2023,11,11462
2023,12,6898
2024,1,6865
