날짜,지역,생산량
2023-01,부산광역시,18716
2023-01,인천광역시,5
2023-01,울산광역시,3
2023-01,강원도,1004
2023-01,충청남도,4
2023-01,전라북도,0
2023-01,전라남도,471
2023-01,경상북도,1089
2023-01,경상남도,303
2023-01,제주도,549
2023-02,부산광역시,1465
2023-02,인천광역시,0
2023-02,울산광역시,5
2023-02,강원도,3
2023-02,충청남도,0
2023-02,전라북도,0
2023-02,전라남도,89
2023-02,경상북도,43
2023-02,경상남도,257
2023-02,제주도,204
2023-03,부산광역시,8957
2023-03,인천광역시,6
2023-03,울산광역시,4
2023-03,강원도,15
2023-03,충청남도,0
2023-03,전라북도,0
2023-03,전라남도,446
2023-03,경상북도,36
2023-03,경상남도,429
2023-03,제주도,184
2023-04,부산광역시,6780
2023-04,인천광역시,1
2023-04,울산광역시,23
2023-04,강원도,154
2023-04,충청남도,0
2023-04,전라북도,0
2023-04,전라남도,23
2023-04,경상북도,130
2023-04,경상남도,462
2023-04,제주도,192
2023-05,부산광역시,937
2023-05,인천광역시,2
2023-05,울산광역시,5
2023-05,강원도,30
2023-05,충청남도,1
2023-05,전라북도,0
2023-05,전라남도,73
2023-05,경상북도,70
2023-05,경상남도,328
2023-05,제주도,368
2023-06,부산광역시,1590
2023-06,인천광역시,2
2023-06,울산광역시,68
2023-06,강원도,216
2023-06,충청남도,4
2023-06,전라북도,4
2023-06,전라남도,192
2023-06,경상북도,1242
2023-06,경상남도,786
2023-06,제주도,156
2023-07,부산광역시,9584
2023-07,인천광역시,9
2023-07,울산광역시,36
2023-07,강원도,150
2023-07,충청남도,70
2023-07,전라북도,51
2023-07,전라남도,93
2023-07,경상북도,304
2023-07,경상남도,1387
2023-07,제주도,279
2023-08,부산광역시,5698
2023-08,인천광역시,0
2023-08,울산광역시,7
2023-08,강원도,326
2023-08,충청남도,44
2023-08,전라북도,35
2023-08,전라남도,472
2023-08,경상북도,399
2023-08,경상남도,622
2023-08,제주도,356
2023-09,부산광역시,9903
2023-09,인천광역시,9
2023-09,울산광역시,7
2023-09,강원도,147
2023-09,충청남도,136
2023-09,전라북도,175
2023-09,전라남도,861
2023-09,경상북도,89
2023-09,경상남도,1341
2023-09,제주도,394
2023-10,부산광역시,9163
2023-10,인천광역시,1
2023-10,울산광역시,13
2023-10,강원도,91
2023-10,충청남도,28
2023-10,전라북도,32
2023-10,전라남도,620
2023-10,경상북도,297
2023-10,경상남도,873
2023-10,제주도,252
2023-11,부산광역시,11462
2023-11,인천광역시,24
2023-11,울산광역시,9
2023-11,강원도,651
2023-11,충청남도,52
2023-11,전라북도,1
2023-11,전라남도,423
2023-11,경상북도,303
2023-11,경상남도,717
2023-11,제주도,463
2023-12,부산광역시,6898
2023-12,인천광역시,1
2023-12,울산광역시,12
2023-12,강원도,582
2023-12,충청남도,17
2023-12,전라북도,1
2023-12,전라남도,113
2023-12,경상북도,535
2023-12,경상남도,109
2023-12,제주도,253
