date,생산량,갈치,참조기,수입,수출,가격 (원)
2014-01-01,5663,2805,3,3476,4840,3422
2014-02-01,3565,1436,1,1101,3402,4073
2014-03-01,2620,2740,1,2011,2033,3891
2014-04-01,1525,2894,6,2454,2122,4259
2014-05-01,412,908,3,1995,755,3512
2014-06-01,826,280,0,1452,825,4046
2014-07-01,4155,551,1,1419,853,3931
2014-08-01,14437,1231,52,699,1210,3534
2014-09-01,11595,1691,50,246,2774,3141
2014-10-01,10309,1789,86,1138,2184,3703
2014-11-01,26189,2065,291,5869,574,3969
2014-12-01,28457,1358,109,11651,1260,4105
2015-01-01,13198,563,8,10685,2357,4408
2015-02-01,6464,487,0,4524,1184,5185
2015-03-01,12532,396,0,7566,2246,4422
2015-04-01,9890,748,1,6118,2983,4469
2015-05-01,15,61,1,3756,1660,4631
2015-06-01,3245,173,0,3263,1822,4216
2015-07-01,5568,788,4,2297,1892,3366
2015-08-01,12866,5795,5,1056,1623,2689
2015-09-01,10058,2076,57,768,2767,3047
2015-10-01,12177,2215,115,1208,2599,2868
2015-11-01,12694,1807,115,3481,2653,2784
2015-12-01,13593,1604,111,6780,2379,3162
2016-01-01,14466,1617,68,5067,2481,3140
2016-02-01,2065,1967,9,4484,1409,2972
2016-03-01,3105,1713,15,3954,881,3199
2016-04-01,4885,225,2,4557,1666,3610
2016-05-01,1352,211,1,3880,1095,3744
2016-06-01,1761,639,5,5000,1101,2865
2016-07-01,4400,244,4,2183,801,2818
2016-08-01,10432,441,6,1789,1244,2605
2016-09-01,15717,1171,31,656,1415,2758
2016-10-01,15793,1195,94,703,3037,2863
2016-11-01,25634,971,136,2645,3681,2795
2016-12-01,14473,1534,82,9958,2652,2940
2017-01-01,8352,901,21,8578,1593,2922
2017-02-01,2358,629,0,4650,1926,2792
2017-03-01,1553,1264,1,3583,363,3019
2017-04-01,175,1912,4,3921,175,3000
2017-05-01,540,838,1,4320,504,3130
2017-06-01,1762,2128,3,3289,188,2972
2017-07-01,5981,862,8,2086,635,2891
2017-08-01,11821,2075,12,1828,1066,2775
2017-09-01,8402,2295,68,1197,2525,2767
2017-10-01,4603,1439,117,1169,3112,2961
2017-11-01,8152,3634,172,2918,1259,2930
2017-12-01,30662,1726,90,7746,3492,2878
2018-01-01,14271,1210,31,10666,7723,3052
2018-02-01,2275,1014,1,6115,5919,2967
2018-03-01,9874,2354,1,4597,3426,3094
2018-04-01,2765,772,3,4177,3139,3212
2018-05-01,2,75,3,2823,1904,3000
2018-06-01,89,360,5,3253,1258,3000
2018-07-01,7950,589,5,1959,3734,3193
2018-08-01,10674,569,5,1219,3202,3000
2018-09-01,18739,1089,25,1615,4287,2696
2018-10-01,15213,1204,198,1189,9350,2287
2018-11-01,18957,1346,196,900,15312,2369
2018-12-01,9546,2227,127,3675,12627,2455
2019-01-01,15328,1180,10,5771,15700,2530
2019-02-01,1687,238,0,3844,5714,2406
2019-03-01,1604,771,1,4736,2563,2417
2019-04-01,762,234,1,4060,1801,2023
2019-05-01,78,34,1,3599,2752,1900
2019-06-01,60,100,6,2402,2898,2544
2019-07-01,1199,116,4,4471,2172,3188
2019-08-01,4964,411,9,3709,1319,2807
2019-09-01,4616,864,51,1396,1269,2492
2019-10-01,6956,1498,721,1658,960,2005
2019-11-01,10895,2683,373,2744,1397,2512
2019-12-01,32883,1782,292,4701,6635,2833
2020-01-01,3475,1800,37,5963,10266,3000
2020-02-01,8258,2712,3,2803,8306,3481
2020-03-01,3051,1186,1,9322,4744,3451
2020-04-01,348,568,1,5213,3062,3200
2020-05-01,141,417,7,2473,1320,3350
2020-06-01,198,789,5,2740,2803,3500
2020-07-01,5481,479,5,3060,1224,3650
2020-08-01,4492,780,22,2428,1759,2971
2020-09-01,6553,1087,116,1609,857,3346
2020-10-01,8015,1910,249,1265,568,3481
2020-11-01,13032,4143,709,1311,1207,3548
2020-12-01,10044,2997,342,8701,877,3083
2021-01-01,10747,1570,19,9483,1426,3379
2021-02-01,6008,2506,9,4440,1769,3360
2021-03-01,4216,1881,3,10103,713,3565
2021-04-01,2361,713,18,6925,1677,2755
2021-05-01,89,133,7,8019,3724,4700
2021-06-01,171,440,7,3340,880,4205
2021-07-01,2584,500,2,2406,471,3025
2021-08-01,5806,845,28,1139,1347,3008
2021-09-01,13591,1059,94,606,1901,3504
2021-10-01,11448,1860,233,658,5821,3310
2021-11-01,16245,2866,632,1370,5724,3422
2021-12-01,26718,3090,309,9821,9139,3237
2022-01-01,13448,2070,17,10142,13588,3579
2022-02-01,2162,1055,3,8755,10109,3847
2022-03-01,3340,2009,9,7990,7728,3855
2022-04-01,151,1327,3,1040,2750,4146
2022-05-01,232,178,5,3809,4505,4497
2022-06-01,585,400,3,2788,2917,4638
2022-07-01,2507,466,5,3756,2757,3936
2022-08-01,3900,682,28,2056,613,3543
2022-09-01,5494,1809,10,2194,1996,3333
2022-10-01,5339,987,239,679,6242,3175
2022-11-01,12592,2495,612,563,8125,3289
2022-12-01,24533,1178,51,9590,14690,3103
