지점,일시,평균 풍속(m/s),평균 상대습도(%),평균 기온(°C)
2015,11,6.533333333333333,71.05555555555556,16.538888888888888
2015,12,5.95,52.7,8.91
2016,1,7.15483870967742,55.096774193548384,5.825806451612903
2016,2,7.141379310344828,56.275862068965516,7.055172413793104
2016,3,6.490322580645161,65.25806451612904,10.35483870967742
2016,4,6.8533333333333335,77.13333333333334,14.396666666666667
2016,5,5.706451612903226,83.64516129032258,17.919354838709676
2016,6,5.296666666666667,88.6,21.223333333333336
2016,7,5.27741935483871,87.74193548387096,24.693548387096776
2016,8,6.119354838709677,75.96774193548387,27.716129032258067
2016,9,5.989999999999999,79.56666666666666,23.71333333333333
2016,10,6.241935483870968,70.38709677419355,20.12258064516129
2016,11,6.616666666666666,60.3,14.746666666666666
2016,12,6.912903225806452,57.87096774193548,10.887096774193548
2017,1,7.329032258064516,56.61904761904762,7.833333333333333
2017,2,7.300000000000001,52.69230769230769,7.184615384615385
2017,3,6.112903225806452,54.645161290322584,11.05483870967742
2017,4,6.95,72.96666666666667,16.37
2017,5,5.441935483870967,80.90322580645162,17.706451612903226
2017,6,4.803571428571429,83.53571428571429,20.255555555555556
2017,7,6.660869565217391,92.6086956521739,25.05652173913043
2017,8,6.070967741935483,85.48387096774194,27.780645161290323
2017,9,5.663333333333333,72.9,24.96333333333333
2017,10,7.541935483870968,70.70967741935483,21.183870967741935
2017,11,6.833333333333333,56.766666666666666,14.906666666666666
2017,12,7.358064516129032,53.225806451612904,7.693548387096774
2018,1,6.887096774193548,57.16129032258065,6.009677419354839
2018,2,6.596296296296296,55.407407407407405,6.9185185185185185
2018,3,8.312903225806451,72.64516129032258,12.019354838709678
2018,4,7.596666666666667,77.1,15.076666666666666
2018,5,6.652,85.72,18.88
2018,6,5.9366666666666665,87.93333333333334,22.113333333333333
2018,7,5.88,91.79310344827586,26.186206896551724
2018,8,6.080645161290323,84.35483870967742,28.903225806451612
2018,9,6.633333333333334,76.46666666666667,24.95
2018,10,6.1,62.54838709677419,20.038709677419355
2018,11,5.163333333333333,57.1,16.54
2018,12,6.841935483870968,59.483870967741936,10.429032258064517
2019,1,7.038709677419354,53.903225806451616,9.23225806451613
2019,2,6.096428571428571,57.5,10.192857142857141
2019,3,7.096774193548387,62.354838709677416,13.061290322580644
2019,4,6.526666666666667,69.44827586206897,14.927586206896551
2019,5,4.883333333333334,77.6896551724138,19.596774193548388
2019,6,5.656000000000001,83.83333333333333,20.676666666666666
2019,7,6.896774193548388,90.96774193548387,23.84193548387097
2019,8,5.535483870967742,86.80645161290323,26.258064516129032
2019,9,6.306666666666667,82.13333333333334,24.709999999999997
2019,10,7.138709677419355,67.70967741935483,20.364516129032257
2019,11,5.653333333333333,56.06666666666667,17.066666666666666
2019,12,6.2272727272727275,57.45454545454545,11.7
2020,1,7.4766666666666675,60.193548387096776,9.90967741935484
2020,2,6.337931034482759,60.275862068965516,9.862068965517242
2020,3,7.258064516129032,61.096774193548384,12.416129032258064
2020,4,7.296666666666667,60.96666666666667,14.096666666666666
2020,5,5.835483870967742,83.80645161290323,17.76451612903226
2020,6,5.3133333333333335,88.4,21.813333333333333
2020,7,5.248387096774193,90.37931034482759,22.787096774193547
2020,8,6.806451612903226,90.10344827586206,27.25483870967742
2020,9,7.973333333333333,79.36666666666666,23.313333333333333
2020,10,6.446666666666667,63.4,18.782758620689656
2020,11,5.98,59.13333333333333,14.696666666666665
2020,12,7.038709677419355,54.645161290322584,7.664516129032258
2021,1,7.583333333333333,59.03225806451613,6.035483870967742
2021,2,7.496428571428572,60.464285714285715,8.857142857142858
2021,3,7.206666666666666,67.06451612903226,12.03225806451613
2021,4,,68.8,15.844444444444445
2021,5,5.5095238095238095,79.90322580645162,17.4
2021,6,6.3500000000000005,85.16666666666667,19.866666666666667
2021,7,4.461111111111111,87.77777777777777,29.049999999999997
2021,8,6.190322580645161,86.48387096774194,28.509677419354837
2021,9,7.2733333333333325,80.2,26.563333333333333
2021,10,6.006451612903225,72.41935483870968,23.493548387096773
2021,11,6.733333333333333,61.6,18.62
2021,12,7.432258064516129,61.03225806451613,12.609677419354838
2022,1,6.125806451612903,56.87096774193548,10.09032258064516
2022,2,7.096428571428571,57.642857142857146,9.310714285714285
2022,3,6.696774193548387,70.03225806451613,13.332258064516129
2022,4,6.8933333333333335,73.46666666666667,15.973333333333333
2022,5,6.225806451612903,75.83870967741936,18.951612903225808
2022,6,7.533333333333333,88.0,22.07
2022,7,4.5,90.87096774193549,25.903225806451612
2022,8,7.02258064516129,86.41935483870968,27.203225806451613
2022,9,7.513333333333334,81.85714285714286,24.066666666666666
2022,10,7.753333333333333,64.87096774193549,19.693548387096776
2022,11,5.63,57.666666666666664,17.82
2022,12,6.870967741935484,54.70967741935484,8.196774193548388
